10,5,2,4,2,3,2,2,5,4,5,4,4,4,4,1,1,1,1,1,0,1,4,4,5,99,99,3,4,0,0,0,800.950920645
12,1,4,4,2,4,3,3,5,5,4,4,3,4,4,1,1,1,1,1,1,0,5,4,4,4,3,4,3,0,0,1,2.73067880476
15,1,4,4,2,4,2,2,4,4,5,4,3,2,2,1,1,1,1,0,0,0,5,5,5,4,1,1,1,1,0,0,555.138411404
18,1,5,5,1,4,3,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,0,1,1,261.147652939
23,3,2,4,2,4,3,4,4,5,5,5,5,3,4,1,1,1,0,1,0,0,5,5,5,5,5,3,2,0,1,1,1352.30187052
32,4,3,4,3,2,2,3,5,5,5,5,5,5,5,1,1,1,1,1,1,1,4,99,4,4,4,4,99,0,1,1,0.8167450241
33,2,4,4,2,3,3,3,4,4,5,5,4,4,5,1,1,1,1,1,1,1,4,4,4,99,99,99,99,0,0,1,43.9920785375
37,4,4,4,3,3,3,1,5,5,5,4,5,4,3,1,1,0,1,0,0,0,4,4,2,4,1,1,1,0,0,1,225.609248342
41,2,4,4,2,4,1,3,5,4,5,3,3,4,3,1,1,1,0,1,1,0,99,99,99,1,1,99,1,0,0,1,1161.05924053
42,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,1,1,1,1,99,99,99,99,99,99,99,99,99,99,154.686408455
46,2,4,4,2,5,3,5,4,4,4,4,3,4,4,1,1,1,1,0,0,1,4,4,4,4,4,4,4,0,1,1,1086.75620524
53,2,5,5,2,5,5,5,5,5,5,3,4,3,5,1,1,1,0,0,0,1,5,5,5,3,4,4,5,0,0,1,2156.92872399
57,2,2,4,2,99,99,99,4,4,4,4,4,3,3,1,1,1,1,1,1,1,99,99,99,99,99,99,99,0,0,1,2167.55020211
60,2,4,3,4,4,2,4,5,4,5,4,4,4,4,1,1,1,1,1,1,1,4,4,4,4,4,4,4,0,0,0,406.665652225
61,2,1,2,4,99,99,99,2,2,4,2,2,2,2,1,1,1,1,1,1,1,99,99,99,99,99,99,99,0,0,1,438.854902307
62,4,2,4,2,3,3,2,4,4,4,4,4,4,4,1,1,0,1,1,1,0,4,4,3,4,4,4,4,0,0,1,252.639197985
63,5,2,4,5,4,3,2,5,5,5,4,4,3,3,1,1,0,0,0,0,0,4,5,4,3,3,4,2,0,0,1,272.401911304
68,2,4,5,1,99,99,99,4,5,5,5,5,5,5,1,1,1,1,1,1,1,99,99,99,99,99,99,99,0,0,1,1288.97400944
72,1,4,5,1,5,5,4,4,4,5,5,4,4,4,1,1,1,1,0,0,0,5,5,5,5,3,3,3,0,0,1,1398.03757532
74,2,4,5,2,4,3,4,4,4,4,4,4,4,4,1,1,1,0,1,1,1,4,4,4,4,4,4,4,0,0,1,0
75,4,2,4,3,4,3,5,4,4,5,4,3,3,5,0,1,1,1,0,0,1,4,5,5,5,4,4,4,0,1,1,93.7609913617
79,4,4,4,2,4,2,4,5,4,4,5,4,3,3,1,1,0,1,1,0,0,4,99,99,99,2,2,2,0,0,1,69.8585932679
82,5,5,5,2,4,2,2,5,5,5,5,5,5,5,1,1,1,0,0,0,1,3,3,4,3,3,3,4,0,0,1,1.33655276578
84,1,2,4,2,4,4,4,5,5,5,5,5,5,5,1,1,0,1,1,1,1,5,5,5,5,5,5,5,0,1,0,16.1494171739
89,1,5,99,1,5,5,5,5,5,4,5,4,4,4,1,1,0,1,1,1,1,99,99,99,99,99,99,99,0,0,1,199.086548743
90,4,99,5,2,4,3,3,5,5,5,5,5,5,5,1,1,0,1,0,0,0,4,4,1,4,2,2,2,0,0,1,199.086548743
92,2,5,5,1,3,3,3,5,4,4,4,4,3,4,1,1,0,1,0,0,1,5,5,3,5,4,4,5,0,0,1,199.086548743
93,2,4,4,2,2,2,2,4,4,5,4,3,3,4,1,1,1,1,1,0,0,4,4,4,4,4,3,3,0,0,0,498.725033197
97,2,4,4,2,2,1,1,5,5,5,5,4,4,4,1,1,1,1,1,1,1,5,5,5,5,4,4,4,0,0,0,634.884008026
99,4,1,2,4,3,3,2,3,4,4,1,1,1,1,1,1,0,0,0,0,0,3,3,1,1,1,1,1,0,1,0,0
101,2,4,4,2,5,4,5,4,4,4,4,3,3,4,1,0,1,1,0,0,0,4,1,3,3,3,2,1,0,0,1,43.0300329647
104,2,4,3,3,5,4,4,5,5,5,5,5,5,5,1,0,1,1,0,1,1,5,1,4,4,3,4,4,0,1,1,47.325622055
105,2,4,4,2,2,2,3,2,4,5,2,2,2,4,0,1,1,0,0,0,0,1,5,5,3,2,2,2,0,0,1,523.306762635
109,1,3,4,5,2,2,2,5,5,5,5,5,5,5,1,1,0,1,1,0,1,5,5,4,4,99,99,5,0,1,1,195.215110247
124,4,2,4,2,5,2,4,2,3,4,4,3,2,2,0,0,1,1,1,1,0,2,1,4,4,4,4,2,0,0,1,145.808062165
128,2,4,5,2,5,5,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,0,1,1,757.138596141
