"id","e1a","e1c","e1f","e1g","f5a","f5b","f5c","f1a","f1b","f1c","f1d","f1e","f1f","f1g","f2a1","f2b1","f2c1","f2d1","f2e1","f2f1","f2g1","h1a","h1b","h1c","near_03f","cityRate","numBehaviors"
757,2,4,3,2,4,3,3,4,4,4,4,4,2,4,1,1,1,1,0,1,1,0,0,1,1796.43790113,2.60625,3
758,5,1,5,1,5,5,5,5,3,5,3,2,3,1,1,0,0,0,0,0,0,0,0,0,1679.26908656,2.60625,0
766,2,3,4,3,4,4,4,2,2,4,4,3,3,3,0,1,0,1,1,0,1,0,0,0,3405.51488384,2.60625,3
771,1,5,3,5,3,3,2,4,5,4,4,3,4,4,1,1,0,1,1,0,1,0,0,0,7412.77894352,2.60625,3
777,4,2,5,2,5,5,5,4,4,5,5,4,5,5,1,1,1,1,1,0,1,0,0,0,3792.86589882,2.60625,3
778,2,4,4,2,4,2,4,4,4,4,4,3,4,4,1,0,1,1,1,1,1,0,0,1,2641.83523985,2.60625,4
784,4,4,5,1,4,3,1,4,5,5,5,5,5,5,1,1,1,1,1,1,1,0,1,1,0,2.41176470588235,4
788,2,4,4,2,4,3,2,5,3,2,2,2,2,2,1,1,0,0,0,0,0,0,1,1,85.5914544194,2.41176470588235,0
792,2,4,5,4,3,3,2,5,5,5,4,4,5,5,1,1,1,1,0,1,1,0,0,1,19.5767393398,2.41176470588235,3
795,2,2,2,4,5,5,5,4,4,5,3,4,4,4,1,0,1,1,1,1,1,0,1,1,38.6500162921,2.41176470588235,4
801,2,2,4,3,4,2,5,4,5,4,4,4,3,5,1,1,1,1,1,1,1,0,0,0,0,2.41176470588235,4
803,4,4,2,4,2,3,2,4,3,4,3,3,3,2,0,1,1,0,1,0,0,0,1,1,74.8218174345,2.41176470588235,1
806,4,2,4,4,3,2,4,3,4,4,3,3,2,3,1,1,1,1,1,0,1,0,1,1,10.9851629228,2.41176470588235,3
809,4,4,4,3,5,4,4,4,4,4,3,4,3,3,1,1,1,1,1,0,1,0,0,1,161.237235458,2.41176470588235,3
819,1,4,4,2,4,3,4,5,4,4,4,2,2,4,1,0,1,0,0,0,1,0,1,1,40.1714488733,2.31849315068493,1
830,3,3,5,1,3.79828708340395,3.19497957834908,3.8630339112451,5,5,5,4,4,4,4,1,1,1,1,1,1,1,0,0,1,361.209104417,2.31849315068493,4
837,2,4,3,3,3,2,2,4,2,4,4,3,1,2,1,1,1,0,1,0,0,0,1,1,136.400851161,2.31849315068493,1
839,4,3,4,3,3,2,3,4,4,4,4,4,4,4,1,1,1,1,0,1,1,0,0,1,204.406341131,2.31849315068493,3
846,2,4,4,2,4,2,3,4,4,5,5,3,3,3,1,1,1,1,0,0,0,0,0,1,115.835425224,2.31849315068493,1
849,2,4,5,5,3.28156900040868,2.84091983038917,2.0439638129063,5,5,5,5,5,5,5,1,1,1,1,1,1,1,-0.120957251529115,0,1,7.8754538304,2.31849315068493,4
851,5,2,4,2,4,4,4,4,3,5,3,3,3,4,1,1,1,1,0,0,1,0,0,1,40.0252264455,2.31849315068493,2
854,4,3,4,4,3,2,2,4,4,4,4,4,3,4,1,0,1,1,0,0,1,0,0,1,229.050110464,2.31849315068493,2
855,2,3,4,2,5,4,4,4,4,3,4,2,2,2,1,0,1,1,0,0,1,0,0,1,164.710589915,2.31849315068493,2
859,4,2,4,2,4,4,3,4,4,4,4,4,3,2,1,1,1,0,0,1,1,0,0,0,0,2.31849315068493,2
860,2,3,4,2,4,4,4,4,3,4,4,4,3,3,1,1,1,1,1,1,1,0,1,1,0.04026644769,2.31849315068493,4
864,2,4,4,2,4,3,3,4,4,5,5,3,3,4,1,1,1,1,1,0,0,0,0,1,41.7752750998,2.31849315068493,2
865,4,3,5,1,3,2,2,4,5,5,4,4,4,5,1,1,1,0,1,0,1,0,0,0,71.0611224633,2.31849315068493,2
866,1,1,3,3,4,2,3,2,2,3,2,2,3,3,1,1,1,1,0,0,1,0,0,1,193.186197369,2.31849315068493,2
869,2,5,5,2,5,5,5,4,4,4,4,4,4,4,1,0,1,1,0,1,1,0,0,1,264.754636667,2.31849315068493,3
876,2,4,4,2,5,5,5,4,5,4,3,3,3,4,1,1,1,1,1,1,1,1,1,1,0,2.31849315068493,4
877,4,4,4,2,4,2,3,2,3,4,4,1,4,4,1,1,1,0,0,0,0,0,1,1,48.0838786272,2.31849315068493,0
882,2,5,1,5,4,4,3.6494164239909,4,4,5,5,5,3,4,0,0,1,1,0,0,0,0,0,1,47.2630813972,2.31849315068493,1
883,2,4,4,2,4,4,3,4,4,5,4,4,4,4,1,1,1,1,1,1,1,0,1,1,20.7197659041,2.31849315068493,4
884,5,5,4,4,5,4,4,5,5,5,5,4,4,4,1,0,0,1,0,0,0,0,0,1,68.4941260796,2.31849315068493,1
885,1,5,5,1,5,4,4,5,5,5,5,4,5,5,1,1,1,1,1,1,1,0,1,1,2.49137997307,2.31849315068493,4
888,4,2,3.86435839468596,2,4,2,4,5,5,5,5,5,5,5,1,0,1,1,1,1,0,0,1,1,118.085855852,2.31849315068493,3
893,2,4,4,2,4,3,3,4,4,5,3,3,3,4,1,1,1,0,1,1,1,0,0,1,245.723579223,2.31849315068493,3
895,1,5,5,1,2,4,3,4,4,5,5,4,4,4,1,1,1,1,1,0,0,0,0,0,114.203145204,2.31849315068493,2
900,3,2,5,3,5,4,3,2,2,4,2,2,1,2,1,0,0,0,0,0,0,0,0,1,90.402412859,2.31849315068493,0
901,4,2,3,3,4,3,3,2,2,3.76740332367883,2.78013866094948,2,2,2,1,0,1,0,0,0,0,0,0,1,90.402412859,2.31849315068493,0
904,2,3,5,2,4.38557535296726,4.07264296596806,4.2528027806063,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,1,1,18.0323643263,2.31849315068493,4
914,4,2,2,4,4,3,4,4,4,5,4,4,4,4,1,1,0,1,0,0,0,0,1,1,13.2581957451,2.41176470588235,1
921,2,4,5,1,4,4,4,5,5,5,2,2,2,2,1,0,0,1,0,0,0,0,0,1,140.237028358,2.31849315068493,1
922,1,4,4,2,5,2,2,3,3,5,5,3,3,3,1,0,1,1,0,0,0,0,1,1,80.9348297611,2.31849315068493,1
929,2,4,5,1,4,2,5,5,4,5,5,3,3,5,1,0,1,0,0,1,1,0,0,1,397.032450457,2.31849315068493,2
930,3,3,4,2,5,3,4,5,4,4,5,5,4,3,1,1,1,1,1,0,0,0,1,0,417.679563253,2.31849315068493,2
932,2,4,4,2,4,3,3,4,4,4,4,3,4,4,1,1,1,1,0,0,0,0,0,1,369.558832136,2.31849315068493,1
938,2,4,5,2,5,5,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,0,204.761032863,2.31849315068493,4
939,2,4,5,1,3.44375054863388,2.63261035038186,3.27286785517357,4,4,5,4,1,2,4,1,1,1,1,1,1,1,0,0,1,211.046119364,2.31849315068493,4
941,3,3,4,1,4,3,3,4,4,4,4,4,4,4,1,0,0,1,0,0,1,0,0,0,136.85547977,2.31849315068493,2
945,2,4,4,2,4,3,3,4,4,4,4,4,2,4,1,1,1,1,1,0,1,0,0,1,71.4379066816,2.31849315068493,3
949,1,5,5,1,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,1,1,67.4923281262,2.31849315068493,4
952,1,5,5,1,5,5,5,4,4,5,5,5,5,5,1,1,1,1,1,0,1,0,0,1,90.4578655795,2.31849315068493,3
953,3,4,5,1,4,2,3,4,4,5,4,3,3,4,1,1,1,1,0,1,1,0,0,1,84.6050568917,2.31849315068493,3
954,2,4,4,2,2,2,2,4,4,5,4,4,4,4,1,1,1,1,0,0,1,0,0,1,134.644030291,2.31849315068493,2
956,4,2,3,4,3,3,3,3,3,5,4,3,3,3,1,1,1,0,0,0,1,0,0,1,68.1583270107,2.31849315068493,1
960,4,3,3,3,4,3,2,4,4,4,4,4,3,3,1,0,1,0,0,0,0,0,0,1,273.292573754,2.31849315068493,0
971,3,3.7624434680778,3.78438835476165,2.64841731313825,4,3,3,4,4,4.15674851648995,4,3.90987596764351,4,4,1,1,1,1,1,1,1,0,0,1,162.970120235,2.31849315068493,4
973,1,4,5,1,3,2,1,4,4,5,5,4,5,4,1,1,1,1,0,1,1,0,0,1,69.287787854,2.31849315068493,3
974,1,4,4,2,5,4,4,4,4,4,4,4,4,4,0,1,1,1,0,0,1,0,1,1,27.2053649517,2.31849315068493,2
977,3,2,5,1,3.78604152293406,3.20171889893558,3.37020896895973,1,2,5,2,3,2,2,1,1,1,1,1,1,1,0,1,1,19.3283623838,2.31849315068493,4
978,1,5,5,2,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,1,1,21.4542574607,2.31849315068493,4
979,4,2,5,2,5,2,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,1,1,64.3014509959,2.31849315068493,4
981,3,2,4,2,5,3,3,4,4,5,4,4,3,4,1,0,1,1,1,0,1,0,0,1,111.197473872,2.31849315068493,3
983,4,2,5,1,5,5,5,5,5,5,4,4,3,4,1,0,1,1,0,1,1,0,1,1,98.2959583234,2.31849315068493,3
988,4,1,4,3,5,3,4,4,4,5,5,5,5,5,0,1,0,0,0,0,0,0,0,0,0,2.31849315068493,0
989,2,4,4,3,3,2,3,4,4,3,4,3,4,4,1,0,1,1,0,1,1,0,1,1,0,2.31849315068493,3
991,2,4,4,2,3,3,4,4,4,5,5,4,3,4,0,0,1,0,0,0,0,0,1,1,185.902962122,2.31849315068493,0
992,1,5,4,2,3,2,2,2,4,4,2,3,2,4,1,1,1,0,0,0,1,0,0,1,10.1373332999,2.31849315068493,1
1004,2,4,4,2,5,3,3,5,5,5,5,3,3,4,1,1,1,1,0,1,1,0,1,1,30.900306356,2.31849315068493,3
1008,2,4,4,2,5,4,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,1,1,6.23004480928,2.41176470588235,4
1022,3,1,5,1,5,4,5,4,4,5,4,4,4,4,1,1,1,1,0,0,0,0,1,1,87.5496264602,2.31849315068493,1
1026,3,2,4,3,4,3,3,4,4,4,4,4,1,4,1,1,1,1,1,0,1,0,1,1,50.7996063327,2.31849315068493,3
1028,5,4,3,5,1,5,4,5,4,4,5,4,4,4,0,0,0,1,1,0,1,0,0,1,167.0398328,2.31849315068493,3
1032,4,3,4,2,5,3,5,4,4,4,4,3,1,2,1,0,1,0,0,0,0,0,0,1,360.286102007,2.31849315068493,0
1033,4,3,5,2,5,4,3,4,5,5,4,4,3,4,1,1,1,1,0,0,0,0,0,1,29.2624555728,2.31849315068493,1
1036,2,4,4,2,2,2,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,0,137.302717659,2.31849315068493,4
1045,1,5,2,2,4,3,2,5,5,5,3,3,3,4,1,1,0,0,0,0,0,0,0,0,59.0375464744,2.31849315068493,0
1049,1,4,5,1,5,4,4,3,4,5,5,4,4,5,0,1,1,1,1,0,1,0,1,1,14.0767290712,2.31849315068493,3
1054,4,2,4,2,2,1,2,2,2,4,2,3,2,4,0,0,1,0,1,0,1,0,0,1,233.008131596,2.31849315068493,2
1056,3,4,3,4,4,3,3,4,4,4,2,2,2,4,1,0,1,1,1,0,1,0,0,1,229.154427815,2.31849315068493,3
1057,2,4,4,2,3,2,3,4,4,4,4,3,3,3,1,0,1,0,0,0,0,0,0,0,208.943851935,2.31849315068493,0
1058,2,4,4,2,3,3,4,4,5,5,4,4,5,5,1,1,1,1,1,1,1,0,0,1,0,2.31849315068493,4
1065,4,1,4,3,4,1,2,4,4,4,4,3,3,3,1,1,1,1,0,0,0,0,0,1,385.514455423,2.31849315068493,1
1066,2,4,4,2,4,2,2,2,2,4,4,3,2,2,1,0,0,0,0,0,0,0,0,0,351.196220974,2.31849315068493,0
1069,1,5,5,1,5,2,4,5,5,4,4,4,4,5,0,0,0,0,0,0,0,0,0,0,345.073511816,2.31849315068493,0
1081,2,3,5,1,5,4,5,4,4,4,4,4,4,4,1,0,1,0,0,1,1,0,1,1,59.4744144769,2.31849315068493,2
1084,4,2,5,2,4,4,4,4,4,4,4,3,4,3,1,1,1,1,0,1,0,0,1,1,148.312288642,2.31849315068493,2
1087,2,4,4,2,4,3,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,1,85.7749231609,2.31849315068493,4
1088,2,4,4,2,3,2,2,4,4,5,3,3,3,4,1,1,1,0,0,0,1,0,0,1,169.042785015,2.31849315068493,1
1089,2,4,3,3,4,2,3,4,4,4,4,4,3,3,1,1,1,1,1,0,1,0,0,1,135.159211509,2.31849315068493,3
1091,2,4,4,2,4,2,4,4,4,4,4,3,3,3,1,1,1,1,0,0,1,0,0,1,71.4660371266,2.31849315068493,2
1098,2,2,2,3,3,3,4,4,3,4,4,4,3,4,1,0,1,1,1,0,1,0,0,1,114.019929894,2.31849315068493,3
1104,5,1,2,5,5,3,5,5,5,4,5,5,3,4,1,1,1,1,1,1,1,0,1,1,582.665868617,2.31849315068493,4
1106,3,4,4,3,4,2,3,2,4,4,4,4,4,4,1,1,1,1,1,1,1,0,1,1,0,2.41176470588235,4
1109,2,4,4,2,4,3,4,4,4,4,4,4,3,4,1,1,1,1,1,1,0,0,0,1,180.163371888,2.41176470588235,3
1112,3,4,4,3,2,2,2,2,3,3,3,3,3,3,1,0,1,1,1,1,0,0,0,0,0,2.31849315068493,3
1114,2,4,5,2,4,3,4,5,5,5,5,5,4,5,0,0,0,1,0,0,0,0,1,1,61.0354391592,2.31849315068493,1
1116,4,5,4,2,5,5,3,5,4,5,5,5,5,5,1,0,1,1,0,1,1,0,0,1,0,2.31849315068493,3
1117,4,4,5,1,5,4,4,2,4,5,2,2,4,4,1,1,1,1,1,0,0,0,0,1,93.2073031823,2.31849315068493,2
1121,4,3,5,2,3,2,2,4,4,4,4,3,2.72898939664221,3,1,1,1,1,0,0,1,0,0,1,99.2809948971,2.31849315068493,2
1122,1,5,5,1,4,2,4,3,5,5,5,3,5,5,1,1,1,1,0,0,0,0,0,1,140.719334105,2.31849315068493,1
1126,5,5,5,5,2,3,4,5,2,5,5,5,5,5,1,1,1,1,1,1,1,0,0,0,184.848893729,2.31849315068493,4
1129,2,4,4,2,4,3,4,4,4,5,4,3,3,3,1,0,1,1,1,0,0,0,0,0,139.394028478,2.31849315068493,2
1130,0.542649162143171,5,5,1,5,5,5,5,5,5,5,5,5,5,1,0,1,0,1,0,0,0,0,1,286.523538045,2.31849315068493,1
1131,2,4,4,2,5,5,4,4,4,5,4,4,4,4,1,0,1,0,0,1,1,0,0,0,98.405069783,2.31849315068493,2
1133,4,2,4,2,5,2,4,4,4,4,4,4,4,4,1,1,1,1,0,1,1,0,0,1,129.047692128,2.31849315068493,3
1134,4,2,4,2,3,2,2,2,2,5,4,4,3,4,1,1,1,0,0,0,0,0,0,1,137.302717659,2.31849315068493,0
1137,4,5,5,1,4,2,5,5,5,5,5,5,5,5,1,0,1,1,1,1,1,0,0,0,192.878052475,2.31849315068493,4
1139,4,2,5,2,4,4,2,4,4,5,4,4,4,4,0,1,1,1,0,0,1,0,1,1,6.80224564126,2.31849315068493,2
1143,1,5,4,2,3.44789222378538,2.69894737083703,3.00087973935873,4,4,5,4,3,4,4,1,1,1,1,1,1,1,0,0,1,158.205137187,2.31849315068493,4
1146,4,1,2,4,3,2,3,4,4,4,4,4,4,4,1,0,0,1,1,1,0,0,0,1,64.2954350828,2.31849315068493,3
1155,2,3,4,3,4,4,4,4,4,5,4,3,4,4,1,0,1,0,0,1,0,0,1,1,14.905896743,2.31849315068493,1
1160,2,4,3,3,3,3,3,4,4,4,3,1,1,3,1,1,1,1,1,0,0,0,0,1,51.1901727822,2.31849315068493,2
1163,2,4,4,2,4,2,4,4,4,5,5,4,2,2,1,0,1,0,0,0,0,0,0,1,230.698032271,2.31849315068493,0
1167,2,4,4,2,4,2,4,4,4,4,4,4,4,4,1,1,0,1,1,0,1,0,0,1,8.25531497132,2.31849315068493,3
1171,1,5,5,1,4,4,3,4,4,5,5,4,3,4,1,1,1,1,1,0,1,0,0,1,69.6337401243,2.31849315068493,3
1177,1,1,5,1,4,2,3,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,1,60.3032834411,2.31849315068493,4
1179,2,4,3,4,5,3,5,5,5,5,5,3,3,4,1,1,1,0,0,0,1,0,0,1,182.951330218,2.31849315068493,1
1184,2,4,5,1,4,2,3,4,4,5,4,4,2,2,1,1,1,0,0,0,0,0,0,1,233.943503759,2.31849315068493,0
1190,3,4,4,3,5,5,3,4,2,3,3,3,4,4,1,1,1,0,1,1,1,0,1,1,92.0047469385,2.31849315068493,3
1194,2,4,5,1,2,2,2,4,5,5,5,3,4,5,1,1,1,1,0,1,1,0,0,1,14.8069414066,2.31849315068493,3
1198,5,5,5,5,3.10389867982363,2.34946242975237,2.6666153113369,5,5,5,5,5,3,2,1,1,1,1,1,1,1,0,0,1,1594.67114575,2.31849315068493,4
1216,2,4,5,1,5,3,4,4,4,5,4,4,1,3,1,1,1,1,1,0,0,0,1,1,133.457290795,2.31849315068493,2
1217,4,4,4,2,3,3,3.4457452225304,5,5,5,5,5,5,5,1,1,1,1,1,0,1,0,1,0,53.6398997365,2.31849315068493,3
1218,2,4,4,2,4,2,2,4,4,4,2,2,3,4,0,0,0,0,1,0,1,0,0,0,65.5122981626,2.31849315068493,2
1219,4,2,4,2,2,2,2,2,5,4,4,3,5,5,1,1,1,1,0,1,1,0,0,1,17.7778666591,2.31849315068493,3
1228,2,4,4,2,5,3,3,3,3,4,4,3,4,4,1,1,1,1,1,1,1,0,0,1,109.094329458,2.31849315068493,4
1233,3,2,3,4,3,4,4,4,4,4,4,3,3,3,1,1,1,1,0,0,0,0,0,1,314.752116264,2.31849315068493,1
1238,2,5,3,4,5,2,4,4,4,4,4,2,3,5,1,0,0,1,0,0,1,0,1,1,133.778459457,2.31849315068493,2
1240,2,4,4,2,3,1,2,4,4,5,4,3,3,4,1,1,1,1,1,0,1,0,0,0,142.056190635,2.31849315068493,3
1245,3,4,3,3,4,4,4,2,2,4,4,4,4,4,1,1,1,1,1,1,1,0,0,1,208.407369814,2.31849315068493,4
1247,4,2,4,2,5,4,4,3,3,4,4,3,3,3,0,1,1,0,0,1,0,0,0,0,233.88475531,2.31849315068493,1
1252,4,2,4,2,3,3,4,2,4,5,4,4,4,4,0,1,1,1,0,1,1,0,1,0,150.627350962,2.31849315068493,3
1253,2,4,5,1,3,1,3,4,3,4,4,4,4,4,1,1,1,1,1,1,1,0,0,1,57.5127929343,2.31849315068493,4
1254,2,4,2,4,4,3,4,3,3,4,4,4,4,4,1,1,1,0,0,1,1,0,0,1,27.6042648996,2.31849315068493,2
1260,3,3,4,2,4.71513810595916,3.12047121248502,3.9840496706688,4,4,4,4,4,3,4,1,1,1,1,1,1,1,0,0,1,358.9821692,2.31849315068493,4
1262,2.86744225742784,3,4,2,5,5,5,3.3903837632013,4,4,2,2,3,2,1,1,1,1,1,1,1,0,0,1,50.9173334229,2.31849315068493,4
1268,2,4,5,1,4,3,3,3,4,4,4,4,4,4,1,0,1,1,0,1,1,0,0,1,44.2008041103,2.31849315068493,3
1271,3,3,4,2,5,4,4,3,4,5,4,4,3,3,1,1,1,1,0,0,0,0,1,1,184.414458262,2.31849315068493,1
1273,2,4,5,1,5,5,3,5,5,5,4,4,4,5,1,1,1,1,0,0,1,0,0,1,111.836004136,2.31849315068493,2
1277,4,2,3,4,4,3,3,4,4,4,4,4,3,4,1,1,1,1,1,0,0,0,0,1,45.1165584251,2.31849315068493,2
1287,2,4,4,4,5,1,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,1,299.277954858,2.31849315068493,4
1291,4,3,5,2,3.79615514807782,2.49480569719843,2.99221887057455,4,4,5,4,3,3,3,1,1,1,1,1,1,1,0,1,1,123.512811305,2.31849315068493,4
1294,4,2,3,4,2,3,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,1,1,0,2.31849315068493,4
1301,2,4,3,3,5,3,4,4,4,4,4,4,4,4,1,1,1,0,1,1,1,0,0,0,240.049093913,2.31849315068493,3
1303,2,4,5,2,5,3,3,4,4,5,4,2,3,4,1,1,1,1,0,0,1,0,1,1,0,2.41176470588235,2
1307,4,3,5,1,5,4,5,5,5,5,5,2,2,2,1,1,1,1,0,0,0,0,1,0,0,2.41176470588235,1
1313,5,1,3,4,4,3,4,4,4,5,4,4,4,4,1,1,1,0,1,0,1,0,0,1,0,2.31849315068493,2
1315,4,3,2,5,4,3,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,1,161.689667905,2.31849315068493,4
1320,2,4,5,1.62924550553267,5,3,5,4,4,4,4,4,4,4,1,1,1,0,1,0,1,0,0,1,254.179678933,2.31849315068493,2
1321,4,4,4,2,5,3,5,4,4,5,5,4,4,4,0,0,1,0,0,0,0,0,0,1,129.047692128,2.31849315068493,0
1323,2,4,4,2,5,4,4,4,4,4,4,3,3,4,1,1,1,1,1,1,1,0,0,1,110.772922284,2.31849315068493,4
1324,4,2,4,2,4,3,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,1,23.1207662022,2.31849315068493,4
1326,4,2,5,2,3,2,2,4,4,4,4,4,4,4,1,1,1,1,0,1,0,0,0,1,351.435081089,2.31849315068493,2
1327,5,5,5,4,3,1,2,4,3,5,3,3,3,3,1,1,1,0,0,1,1,0,0,1,177.521587329,2.31849315068493,2
1329,2,3,3,3,4,2,3,3,3,2,3,3,3,3,1,0,1,1,1,0,0,0,0,0,160.451501335,2.31849315068493,2
1332,2,4,4,3,3,2,3,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,0,137.302717659,2.31849315068493,4
1335,2,4,4,2,5,4,4,4,4,5,4,4,3,3,1,1,1,1,1,1,0,0,0,1,271.415852724,2.31849315068493,3
1337,2,3,3,3,4,3,5,3,3,4,4,3,3,3,1,1,1,1,0,0,0,0,1,1,172.194045984,2.31849315068493,1
1339,4,3,3,2,5,5,5,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,1,177.521587329,2.31849315068493,4
1340,1,4.73659429865457,5,1,5,5,5,5,4,5,5,5,5,3,1,1,1,0,0,0,0,0,0,1,48.7419802199,2.31849315068493,0
1341,2,5,4,2,5,4,4,5,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,1,66.327017762,2.31849315068493,4
1342,2,4,4,2,5,5,3,2,4,5,2,2,3,4,1,1,1,1,0,0,0,0,1,1,102.342901276,2.31849315068493,1
1346,4,4,4,2,3,2,3,4,4,4,4,4,3,4,1,1,1,1,1,0,0,0,0,1,2.17122821468,2.31849315068493,2
1351,3,4,4,2,5,2,4,5,5,4,3,4,2,3,1,1,1,1,0,0,1,0,0,0,329.278039632,2.31849315068493,2
1352,3,3,4,2,3,2,2,2,2,4,4,3,2,2,1,0,0,1,0,0,0,0,1,1,200.26845863,2.31849315068493,1
1353,4,1,5,2,4,3,4,5,5,5,5,3,3,3,1,1,1,0,1,0,0,0,0,1,144.169186514,2.31849315068493,1
1355,2,4,5,2,4,3,4,4,4,5,5,4,2,4,1,0,1,1,1,0,1,0,1,1,54.9599204434,2.31849315068493,3
1356,2,4,4,2,4,3,3,5,4,5,4,4,3,2,1,1,1,0,1,0,0,0,1,1,282.903861182,2.31849315068493,1
1357,2,4,4,2,4,2,4,4,4,4,4,3,3,4,1,1,1,1,0,0,1,0,0,1,115.212793917,2.31849315068493,2
1360,2,4,5,1,5,4,4,4,4,5,5,4,3,4,1,1,1,1,1,0,1,0,1,1,2.79781860693,2.31849315068493,3
1363,2,4,2,4,5,4,2,4,4,4,4,4,4,4,1,0,1,0,0,0,1,0,0,1,65.8489908252,2.31849315068493,1
1368,3,3,5,1,5,4,5,5,5,5,4,4,4,4,1,0,1,1,0,0,0,0,1,1,28.4768220921,2.31849315068493,1
1369,2,4,4,2,4.10661226038452,2.69936860386144,3.63331193941081,4,3,4,5,4,3,4,1,1,1,1,1,1,1,0,0,1,52.6202228194,2.31849315068493,4
1372,4,2,4,2,5,5,2,4,4,5,4,4,4,4,1,1,1,1,1,0,0,0,0,1,0,2.31849315068493,2
1374,2,4,4,2,5,5,4,4,1,4,4,2,3.8334064341916,4,0,0,1,1,0,1,0,0,1,1,117.862852106,2.31849315068493,2
1377,2,3,4,2,5,5,4,2,4,5,4,3,3,3,1,1,1,1,0,1,1,0,1,1,177.204316048,2.31849315068493,3
1380,4,2,4,3,3,2,2,4,4,5,5,4,4,3,1,0,1,1,0,0,0,0,0,0,43.1984633875,2.31849315068493,1
1385,3,4,5,3,4,3,4,4,4,4,3,3,1,3,1,0,1,1,1,0,0,0,0,1,157.508687663,2.31849315068493,2
1388,4,3,4,4,4,4,5,5,4,4,4,3,4,5,1,1,0,0,1,1,1,0,0,1,22.0850513272,2.31849315068493,3
1394,1,4,5,1,5,4,4,4,5,5,3,3,2,4,1,0,1,0,0,1,1,0,0,1,6.90198684671,2.31849315068493,2
1396,1,5,5,2,5,5,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,1,1,0,2.31849315068493,4
1397,1,5,5,1,5,5,4,4,4,4,3,3,3,3,0,1,1,0,0,0,1,0,1,1,0,2.31849315068493,1
1403,5,2,2,5,5,4,4,4,4,5,4,2,3,4,0,0,1,0,0,0,0,0,1,1,0,2.41176470588235,0
1406,1,5,5,1,5,3,4,5,5,5,5,4,4,4,1,1,1,1,0,1,1,0,0,1,0,2.41176470588235,3
1409,5,3,5,3,5,4,5,4,4,4,4,4,4,3,1,1,1,1,0,1,1,0,0,0,0,2.31849315068493,3
1410,4,2,4,2,4,3,4,4,4,4,4,2,3,3,1,1,1,0,0,0,0,0,1,1,0,2.31849315068493,0
1412,4,4,4,4,4,4,4,3,4,4,4,3,4,4,0,1,1,1,1,1,1,0,0,1,0,2.31849315068493,4
1419,4,3,4,3,4,3,2,4,4,4,4,2,1,4,1,1,1,0,0,0,0,0,1,1,51.4091083594,2.31849315068493,0
1420,4,3,4,3,3,2,4,5,3,5,4,3,3,4,1,1,1,1,0,0,1,0,1,1,75.8476047536,2.31849315068493,2
1424,4,2,2,5,3.44451270232223,4.41052422121145,3.93331216912812,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,0,129.047692128,2.31849315068493,4
1430,1,5,5,1,5,3,3,4,5,5,5,5,5,5,1,1,1,0,0,0,0,0,0,0,341.113292604,2.31849315068493,0
1432,2,4,4,2,4,2,2,4,4,4,4,4,1,1,1,1,1,0,1,0,0,0,0,1,292.619288481,2.31849315068493,1
1437,3,3,4,2,3,2,2,4,4,5,4,3,4,4,1,0,1,0,1,0,0,0,0,1,271.654570412,2.31849315068493,1
1439,2,4,4,2,3,2,1,2,4,4,2,2,2,4,1,1,1,1,1,0,1,0,0,1,204.620289039,2.31849315068493,3
1444,4,3,4,4,4,2,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,1,28.0682907622,2.31849315068493,4
1445,2,4,4,2,2,3,4,4,4,5,4,4,4,4,1,1,1,1,0,0,1,0,1,1,38.9206903143,2.31849315068493,2
1447,4,2,2,4,3,2,2,4,4,4,4,4,4,4,1,0,0,0,0,0,1,0,0,1,168.030420109,2.31849315068493,1
1448,2,5,5,1,4,2,5,4,5,5,4,4,4,3,1,1,1,1,1,1,1,0,0,1,162.063087568,2.31849315068493,4
1449,2,4,4,2,4,3,4,5,4,5,5,4,4,4,1,1,1,1,0,0,0,0,0,1,144.500678006,2.31849315068493,1
1451,2,3,4,2,5,3,5,2,2,4,4,2,2,4,1,1,1,1,0,0,0,0,0,1,256.244195642,2.31849315068493,1
1457,2,4,5,2,3,2,3,5,5,5,2,2,1,4,1,1,1,0,1,0,0,0,0,1,140.957806804,2.31849315068493,1
