"","c1a","c1b","c1c","c1d","c1e","c1f","c1g","c1h","c1i","c1j","c1k","c1l","c1m","c1n","c1o","c1p","c1q","c1r","f1a","f1b","f1c","f1d","f1e","f1f","f1g","f2a1","f2b1","f2c1","f2d1","f2e1","f2f1","f2g1","f2a2","f2b2","f2c2","f2d2","f2e2","f2f2","f2g2","f5a","f5b","f5c","d1h","d1i","d1j","g2a","g2b","g2c","g2d","h1a","h1b","h1c","neighbors_f2a1","neighbors_f2b1","neighbors_f2c1","neighbors_f2d1","neighbors_f2e1","neighbors_f2f1","neighbors_f2g1","near_cnf","near_03f"
"c1k",0.0705830788214471,0.0694356815428166,0.11121872293879,0.0333585820330253,-0.102580372250423,-0.0615799188733421,-0.0383960173807948,-0.115831030398737,-0.0885641121728811,0.286863526103203,0.802662229617304,0.19273380324441,-0.150555583945129,-0.113323713323713,-0.0316045108485572,0.0874787809292548,-0.0633500278241514,0.228616547290057,0.0971636707025058,0.0706646294881589,0.0779400357492159,0.0530954549031511,0.0444205454701884,0.0355494234077708,0.0850842579789327,-0.000784803105934553,-0.00671118530884808,0.0259595119245702,0.0270909595119246,0.000330005546311703,0.0265280088740987,0.00765668330560177,0.0682053643375158,0.0954498037852069,0.132790419161677,0.0774892752314292,0.0544273706756669,0.0774593509387341,0.0827538195228419,0.0273992307451765,0.0488388878428419,0.0935551455642766,-0.0433749257278669,-0.0254309451381769,-0.0140585165880275,-0.0618935542584573,-0.0686334997289061,-0.0428906469870853,-0.0515639314225887,0.010156280534447,-0.0171702838063439,-7.51252086811352e-05,0.00156000137177201,-0.00552943730138622,-0.00541508622781546,0.000335196103393353,-0.00785562447648325,-0.00323384001341176,-0.0071714365160654,9.52543197160091,-221.092366747751
"c1l",0.000857255653939428,0.016964638204275,-0.024422839771717,0.0224808605602885,0.0401846912730506,0.0668867645048083,0.0408858603066439,0.00823865410711954,0.108045440043754,0.179394845186397,0.19273380324441,0.796381573418934,-0.10844876537899,-0.122399048794988,0.159613106987762,-0.04645332880627,0.0666935569710313,0.200308310763623,0.0350554448362206,0.0625142909406869,0.0526484632724093,0.0667864706650541,0.0340483723301927,0.0770598525911268,0.0687964524389482,-0.0176803751197459,-0.00635728980472834,0.0189156484764962,0.0203778087763231,-0.012688862372061,0.00984577290017535,0.00603351204181442,-0.0412111406448631,0.0230890726962883,0.0444969939879759,0.106705802664258,0.0699209840338873,0.0956260150597962,0.0644667749612784,0.00292345910001707,-0.0716374547230733,-0.0207202139023912,0.0544642450207374,0.0012689639614235,0.0391960257053006,0.00924129125237827,0.0358061884139836,0.0142158900520263,0.0280047699742672,0.006750888274773,-0.0229756163367171,-0.00315335064584668,-0.00390283980894248,-0.00605676168559821,0.00595580703908995,0.00770571307993934,-0.00959343329437938,-0.00202190861955509,0.00727914003569865,64.5700939777637,-185.540401343302
"c1m",0.0498581422906887,0.0592868374276469,-0.0336064096377136,0.0147596583726451,0.114235628608474,0.126352541702764,0.167764313312259,0.185479554545193,0.0992942321732782,-0.150880893583939,-0.150555583945129,-0.10844876537899,0.91671335200747,0.549568384524936,0.131968262678923,-0.0350585356930535,0.182848723320899,0.0796093951647595,-0.0390776907855115,-0.00286719101902221,0.000212222891393501,0.00554647394533827,0.0562434141201264,-0.00238153182908598,0.0236513808827325,0.00447047505871035,-0.00379568592047513,0.0195936960642843,0.0200067905950259,0.0685029567382509,0.0317828141357553,0.0361514302690773,-0.00499354283254412,-0.0424899855252971,0.0499975660414098,0.0260442147749511,0.0853078999221764,0.0655001128923007,0.0825301436881236,0.0195182724252492,0.0639647091259995,0.0430456171735241,0.035844218842036,0.0816727260255179,-0.00918715015818934,-0.0183956245471624,0.0282149223325694,-0.0197738308203424,-0.000849885408708938,-0.00601328562964313,-0.00341242668392753,-0.00931177996945282,0.00242612057356015,0.00720939065832685,-0.00468903428828356,-0.00426642126313537,-0.00157483334827573,-0.00500570738254983,0.00766825286560829,-30.1332489344609,21.7087243724224
"c1n",0.0198329557520114,0.00442309548549009,-0.0788520841273691,0.0246965926199035,0.174703908925467,0.19930586835753,0.250673223275963,0.234044566807193,0.154955360752111,-0.212955865569694,-0.113323713323713,-0.122399048794988,0.549568384524936,1.03173819863516,0.176832186317852,-0.0356844788951388,0.173352573352573,0.122707733113824,0.0235629030045274,0.0132485396103709,-0.00531051355924452,-0.0237686925504184,0.0293136139552522,-0.0568673989120266,0.0483548269081264,-0.0029891151091309,-0.00344905639023286,0.0112853194969263,-0.028278156900344,0.0404630308499239,0.0170210366025605,0.0284106931363149,0.0174825174825175,-0.0169109974080183,0.069089234200383,-0.0899049045988258,0.00121621398769769,0.0871601084367042,0.0950495352250489,-0.021969696969697,0.0153335037055967,0.0133403361344538,0.0188052142384392,0.0904585023472039,-0.0150058325537346,-0.0147840531561462,0.0445283904567974,-0.00489241151005857,0.0725953273577305,-0.00594477660244945,-0.0160795631383867,-0.0456752397928869,0.00616716564136432,0.00757886884616587,-0.0145297400606007,-0.00503703114454394,0.0112320366358481,-0.0104723913960358,0.0194397353433918,20.4150574132018,11.5667655668463
"c1o",0.0560464514968579,0.0447792654547907,-0.00215793204371885,0.144784768715301,0.0915340273595457,0.0836420176521699,0.0639675224928681,0.0934414169708287,0.123148443553165,-0.0112981012444774,-0.0316045108485572,0.159613106987762,0.131968262678923,0.176832186317852,0.827745238720052,-0.46356381478766,0.504212706796724,0.279679144385027,0.0335766629884277,0.0401787748963128,0.0160625866508219,0.0606315253374077,0.0610108219858402,0.0736726574290026,0.0325609031491384,-0.001217190300445,0.00354055674134328,0.0310858119161814,0.0109714630292405,0.00222779325631906,0.0163343588254672,0.0143606121685529,-0.0206672059786587,0.0130845006026851,-0.0240159032925288,0.0445241962902799,0.0235500162919518,0.0524767459028496,0.0891201692418118,-0.0843001650227379,-0.0612630607510603,-0.0707078341710442,0.0797065653726699,0.0478342495475139,0.0886439770293059,0.031946386505927,0.0805966415460146,0.031428481767401,0.0738672253666469,-0.0121749688037503,-0.0743460894214663,-0.0172490098205632,0.00314403309065745,0.00410583220319662,0.0109461562628739,0.0145203518729617,-0.00294299550989071,-0.0173560677794284,0.0106927581807021,99.3274376079398,-292.779698913786
"c1p",-0.0334442501832948,-0.0110540860639558,0.00509334939344403,-0.101844054723636,0.0354555622472683,0.0384352863575095,0.0605204603135973,-0.0111400684756503,-0.0168661681986555,0.112946252326434,0.0874787809292548,-0.04645332880627,-0.0350585356930535,-0.0356844788951388,-0.46356381478766,0.768368038632404,-0.411768989876921,-0.169746935345586,0.0125538692149147,0.00120329720583528,0.00225413210236144,-0.0327502115023194,-0.00952612731634391,-0.00750523387536207,0.0072762475797889,-0.0140950012044615,-0.00623924994098007,0.00254897676789746,-0.01615659120575,-0.00189352559900954,-0.0111482720178372,-0.00643126446054128,0.019550059709542,0.0281655158710447,0.0833997311892862,-0.01849571228892,0.0514988595633757,0.0314065510597303,0.0146047132530852,0.0790282105901911,0.024901516737397,0.0680676093373703,-0.0506471901918782,-0.00838080198522362,-0.0563606118809164,-0.0460168264824308,-0.0319305843218477,-0.00432082435786,-0.0270664658256449,0.0110681856635272,0.0543910829314357,-0.00756298269872854,-0.00257273727021867,-0.00346744828158127,-0.0101406912874001,-0.00836041733950485,0.000522473759285612,0.00896684301994114,-0.0149991550021114,-47.1183701429503,172.483242960552
"c1q",0.0916466128050653,0.0810324900475151,-0.0341611732842762,0.114166666666667,0.0943724078209744,0.0596010697191136,0.0112105308440162,0.0925010960844491,0.0846419375831141,-0.0589081021323164,-0.0633500278241514,0.0666935569710313,0.182848723320899,0.173352573352573,0.504212706796724,-0.411768989876921,0.833283416528009,0.251618832417119,-0.0200808292019381,-0.0296296296296296,-0.00907220667093859,0.00152608680988837,-0.0121483265938226,-0.0153644369495972,-0.0194906298831967,0.007210205213533,0.00240400667779633,0.0155934553521908,0.0205990016638935,0.00254298391569606,0.0019606211869107,0.0122684414864115,-0.0505276083035954,-0.049525607272366,-0.0390658682634731,-0.000857981485662678,-0.0516202051015772,-0.105599311668542,-0.0169564235719124,-0.10151662028206,-0.0771668863365342,-0.108499327683792,0.0827590096441261,0.0438802686752168,0.0634920634920635,0.059986240970637,0.0823335072161363,0.0270533026716772,0.079042154159525,-0.00945276687455681,-0.0454757929883139,0.00180300500834725,0.00329411536103128,-0.000661871522453199,0.0150011450585917,0.0141481344913435,0.00501091950284754,-0.0112878068138616,0.0139731798593528,36.9422579161635,-386.593962365746
"c1r",0.118340265399089,0.134416999122881,0.0381025006474634,0.192828187574247,-0.0329250545719137,0.00609478863917585,0.0460343855201726,0.0333593500752017,0.0515644268547994,0.10384637076307,0.228616547290057,0.200308310763623,0.0796093951647595,0.122707733113824,0.279679144385027,-0.169746935345586,0.251618832417119,1.23290951401302,0.108247686978716,0.111959046717715,0.112261291645777,0.150044437354724,0.125358303632167,0.129734396132485,0.137362699968096,0.0111126100300159,-0.00353899949241442,0.0137853698020303,0.0425449394624127,-0.00144177262149675,0.0430339617550841,0.039492765842636,0.0745959725892836,0.120331724161051,0.0928242026221117,0.126440181734058,0.0988659040329799,0.115476748424725,0.127935398391813,-0.0455648755080498,-0.0138655462184874,-0.0612911615632989,0.107639365253578,0.0714936479642362,0.097960939516476,0.0360629531657373,0.0502909942934885,0.0392059569034721,0.106483755967902,-0.00547491723962312,-0.0381478766003046,0.00117872652416671,7.02581084795889e-05,-0.00995991968792148,0.00363335139957997,0.0062691174216199,-0.0233579134985267,-0.030054993702055,0.00097030854877262,-40.2293385153252,-321.608656051702
"f1a",0.063214623843857,0.0880685478675428,0.0847699512328517,0.110162096652022,-0.0411597694226964,0.0152369715979396,-0.00886383589839003,0.00734925481974386,-0.0248644928159683,0.0206643731318031,0.0971636707025058,0.0350554448362206,-0.0390776907855115,0.0235629030045274,0.0335766629884277,0.0125538692149147,-0.0200808292019381,0.108247686978716,0.725027081786997,0.431437525948579,0.181679158149746,0.291301285437577,0.334084454870972,0.300168124422231,0.267099338414711,0.0298376095809344,0.0106105199607577,0.000426287387911493,0.0176081766936147,0.0472150895705029,0.0584791069028466,0.0687451102329034,0.216637983326045,0.146456716802816,0.0987476829214893,0.156147674330059,0.256973469690233,0.282485646192179,0.337590773469571,0.0742136916923254,0.0697105667394292,0.100802854594112,0.0544817891373802,0.0660460948021832,0.0766538461538462,0.104778708757779,0.104981502193926,0.108042934016287,0.141581347328573,-0.00215761980467863,0.0109400548386285,-0.0150781073126556,0.00227851079864193,0.014589001208837,-0.00286135640127166,0.00456269757341153,-0.00344446688861723,0.008405990892337,0.00770112201375725,-99.2068250816532,-46.1724522406052
"f1b",0.0867491963228244,0.102543567762676,0.067868550545308,0.13007847301041,-0.0685603031672635,-0.0548215879196653,-0.0541086899448674,-0.0352490751096963,-0.0283052100296825,0.0563220740286508,0.0706646294881589,0.0625142909406869,-0.00286719101902221,0.0132485396103709,0.0401787748963128,0.00120329720583528,-0.0296296296296296,0.111959046717715,0.431437525948579,0.685098543922073,0.212009467792237,0.257303575587577,0.337527676990808,0.283810018802452,0.274454953267243,0.0315794786383022,0.0467606047411218,0.000974083327024503,0.0247205188381659,0.0509450627097686,0.054129760012113,0.0619930855224973,0.169525983521775,0.323049168297456,0.10788055514543,0.153570930394755,0.257841902448533,0.286932648332008,0.332174734852462,0.0826640707390282,0.0316789832026094,0.0661961547821854,0.0672511009589661,0.0621015943867802,0.0561771946756953,0.106549179898948,0.0955499347446958,0.105714517493539,0.139383597241953,0.000101585753613913,0.00414164632973175,-0.0139666643038692,-6.62605859741512e-06,0.00838665962766872,0.00261941117646352,0.00712913822138329,0.00534610743228141,0.00899400369989351,0.00583464407254417,-68.4195878945143,-151.331748192177
"f1c",0.0443073785874747,0.0538730441505185,0.0488807335254036,0.0676018785032571,-0.0519006647290725,-0.0547955454519294,-0.0131634794843916,-0.030701654436899,-0.0277696521265307,0.0204387795386611,0.0779400357492159,0.0526484632724093,0.000212222891393501,-0.00531051355924452,0.0160625866508219,0.00225413210236144,-0.00907220667093859,0.112261291645777,0.181679158149746,0.212009467792237,0.417900535808618,0.243060901064071,0.200230481129358,0.201392604368895,0.219850102203043,-0.000105652403592182,0.0171726348196936,0.0287525469775866,0.0228863230448016,-0.00460845722335421,0.0100671647422836,0.0202022488868765,0.0735849056603774,0.153409783138402,0.163294872077717,0.161375385641624,0.102077623354219,0.120680516197427,0.153947551959827,0.0385179538708522,0.0146252708920025,0.0422340413245094,0.00338717948717949,0.0532766484828168,0.0209902457093468,0.0812589090150541,0.0558775287042099,0.0807462203896839,0.0777013611119104,0.000741749617733132,0.0159108688520453,-0.00577888813182931,-0.000283622648026205,-0.00599141002387848,0.00796915605928926,0.00987891635635767,-0.00635385448154826,-0.00457010060032791,0.00551485691474506,5.147633540388,-148.097820088056
"f1d",0.0741500142854742,0.0797129460009075,0.0380624914254356,0.0740493864565975,-0.00603435872348997,-0.0144628931541538,0.00341587641213784,0.0239676860671802,0.0059623160973931,0.0406012069257233,0.0530954549031511,0.0667864706650541,0.00554647394533827,-0.0237686925504184,0.0606315253374077,-0.0327502115023194,0.00152608680988837,0.150044437354724,0.291301285437577,0.257303575587577,0.243060901064071,0.650033099961885,0.453420175330288,0.376558071496053,0.305883832666717,0.00983470079640514,0.0164792594269615,0.0188870388573492,0.0846004934903408,0.0275532106963028,0.0408132560332203,0.0273626351581777,0.100165668408309,0.132318474526134,0.145648813579189,0.387676268405641,0.270058249827036,0.203404289892753,0.214326412629589,0.0582256625708613,0.057733619763695,0.121587867975022,0.0869597444089457,0.0670511275606817,0.0810230769230769,0.0893682856447519,0.114213197969543,0.101496359816984,0.145421434512031,-0.00280112044817927,-0.0100042764068121,-0.00140869871456242,-0.00264429850225036,-0.00240249848474158,-0.000842315323642511,0.0124133739313894,-0.0018390596113413,0.00387561773782425,0.0109707303539006,-27.7401309726602,88.4005501567452
"f1e",0.0742671605615768,0.087603466410573,0.0661853504856918,0.0824525359538602,-0.0453196347031963,-0.00607979510796776,0.022125942192415,0.0117942217906751,-0.0194151738672287,0.0120456965267187,0.0444205454701884,0.0340483723301927,0.0562434141201264,0.0293136139552522,0.0610108219858402,-0.00952612731634391,-0.0121483265938226,0.125358303632167,0.334084454870972,0.337527676990808,0.200230481129358,0.453420175330288,0.814676923076923,0.536920535802124,0.438788739350537,0.00931794871794872,0.0394030127176195,0.00895641025641026,0.0613025641025641,0.111587179487179,0.0926871794871795,0.0763461538461538,0.111388738004708,0.204173073040426,0.104575901256868,0.31972520419247,0.434033298679061,0.381951222889106,0.372614759068374,0.0613929609261257,0.103264309077252,0.132950787784478,0.143100626859273,0.103675743407325,0.101210051769445,0.133587381301834,0.165343993044949,0.149428539430485,0.21816478300712,0.00142707467755338,-0.00461476725521669,-0.0209542330328847,0.00157308992222953,-0.000686659341676616,-0.00722825150122275,0.000998728685028808,0.00457123000719241,0.00647260553277551,0.00118532246998494,-108.172964972459,146.21212028996
