"id","c1a","c1b","c1c","c1d","c1e","c1f","c1g","c1h","c1i","c1j","c1k","c1l","c1m","c1n","c1o","c1p","c1q","c1r","d1a","d1b","d1c","d1d","d1e","d1f","d1g","e1a","e1b","e1c","e1d","e1e","e1f","e1g","e1h","e1i","e1j","f1a","f1b","f1c","f1d","f1e","f1f","f1g","f2a1","f2b1","f2c1","f2d1","f2e1","f2f1","f2g1","f5a","f5b","f5c","f5d","h1a","h1b","h1c","h1d","h1e","h1f","h1g","h1h","h1i","h1j","h1k","h1l","h1m","h1n","h1o","h1p","education","near_03f","city","numBehaviors","cityRate"
60,4,4,4,4,1,4,4,4,1,4,4,2,3,3,2,4,2,2,4,4,2,2,2,2,4,2,2,4,2,3,3,4,4,2,4,5,4,5,4,4,4,4,1,1,1,1,1,1,1,4,2,4,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,2,406.665652225,"Alpine",4,2.60625
61,4,4,2,4,2,2,4,2,2,4,5,3,3,4,1,5,3,3,4,5,3,4,1,1,4,2,4,1,1,3,2,4,4,5,3,2,2,4,2,2,2,2,1,1,1,1,1,1,1,4.20801597160647,3.70121833656096,3.34199889299571,3.72242643383183,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,3,438.854902307,"Alpine",4,2.60625
62,4,4,4,4,1,1,1,1,1,4,5,2,2,1,1,2,2,2,3,3,4,4,4,4,2,4,2,2,2,4,4,2,4,4,4,4,4,4,4,4,4,4,1,1,0,1,1,1,0,3,3,2,2,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,2,252.639197985,"Alpine",3,2.60625
63,3,3,3,3,3,3,3,3,3,3,4,2,3,4,1,4,1,3,4,4,2,3,3,2,4,5,3,2,3,5,4,5,4,4,5,5,5,5,4,4,3,3,1,1,0,0,0,0,0,4,3,2,3,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,272.401911304,"Alpine",0,2.60625
68,5,5,5,5,1,1,2,2,1,4,3,2,4,3,2,3,2,4,5,5,1,4,1.40870197446033,2,5,2,2,4,2,5,5,1,4,4,3,4,5,5,5,5,5,5,1,1,1,1,1,1,1,4.00095989329039,3.13804936792067,3.61070913160283,1.73115174354894,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,2,1288.97400944,"Alpine",4,2.60625
72,5,5,5,5,2,2,2,2,2,4,3,2,2,2,3,4,2,3,4,4,2,3,2,2,4,1,4,4,2,3,5,1,5,4,4,4,4,5,5,4,4,4,1,1,1,1,0,0,0,5,5,4,3,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,6,1398.03757532,"Alpine",1,2.60625
74,5,5,5,5,1,5,5,5,5,5,5,2,3,3,3,3,3,5,3,4,4,4,3,3,2,2,4,4,2,3,5,2,4,4,4,4,4,4,4,4,4,4,1,1,1,0,1,1,1,4,3,4,3,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,3,0,"El Cajon",3,2.34883720930233
75,4,4,4,3,2,3,2,3,3,5,5,5,3,3,1,5,5,5,4,4,2,5,1,1,4,4,3,2,3,4,4,3,5,4,1,4,4,5,4,3,3,5,0,1,1,1,0,0,1,4,3,5,2,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,4,93.7609913617,"El Cajon",2,2.34883720930233
79,5,5,5,5,3.15978985541916,5,3.65347113973265,4,3,4,5,2,3.30597840546266,3,2,4,3,4,4,4,2.7342518962555,4,1.61182304376741,2,4,4,2,4,4,4,4,2,4,4,5,5,4,4,5,4,3,3,1,1,0,1,1,0,0,4,2,4,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,2,69.8585932679,"El Cajon",2,2.34883720930233
82,3,3,3,4,4,4,4,4,3,4,5,4,2,2,5,2,5,5,4,4,2,3,2,4,4,5,4,5,2,3,5,2,5,5,3,5,5,5,5,5,5,5,1,1,1,0,0,0,1,4,2,2,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,2,1.33655276578,"El Cajon",1,2.34883720930233
84,5,5,5,5,1,1,2,4,1,4,4,2,2,2,2,4,2,3,1,5,5,4,3,2,2,1,3,2,3,4,4,2,4,4,1,5,5,5,5,5,5,5,1,1,0,1,1,1,1,4,4,4,4,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,16.1494171739,"El Cajon",4,2.34883720930233
89,4,4,4,4,1,2,2,2,2,4,5,2,3,2,2,4,2,4,4,4,2,2,2,2,5,1,2,5,4,5,4.82020052379377,1,5,4,5,5,5,4,5,4,4,4,1,1,0,1,1,1,1,5,5,5,4,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,2,199.086548743,"El Cajon",4,2.34883720930233
90,5,5,5,4,1,2,3,3,1,5,5,1,2,3,3,4,2,4,4,4,2,4,2,2,4,4,2,4.26179867357431,2,5,5,2,5,3,5,5,5,5,5,5,5,5,1,1,0,1,0,0,0,4,3,3,3,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,2,199.086548743,"El Cajon",1,2.34883720930233
